episode,total_reward,steps,penalties,epsilon
0,-378,99,31,0.999
1,-351,99,28,0.998
2,-423,99,36,0.997
3,-369,99,30,0.996
4,-387,99,32,0.995
5,-342,99,27,0.994
6,-432,99,37,0.993
7,-414,99,35,0.992
8,-315,99,24,0.991
9,-414,99,35,0.99
10,-450,99,39,0.989
11,-351,99,28,0.988
12,-450,99,39,0.987
13,-387,99,32,0.986
14,-360,99,29,0.985
15,-336,96,29,0.984
16,-369,99,30,0.983
17,-396,99,33,0.982
18,-423,99,36,0.981
19,-333,99,26,0.98
20,-396,99,33,0.979
21,-360,99,29,0.978
22,-549,99,50,0.977
23,-396,99,33,0.976
24,-441,99,38,0.975
25,-351,99,28,0.974
26,-306,99,23,0.973
27,-477,99,42,0.972
28,-414,99,35,0.971
29,-360,99,29,0.97
30,-315,99,24,0.969
31,-405,99,34,0.968
32,-441,99,38,0.967
33,-324,99,25,0.966
34,-333,99,26,0.965
35,-324,99,25,0.964
36,-360,99,29,0.963
37,-360,99,29,0.962
38,-387,99,32,0.961
39,-324,99,25,0.96
40,-387,99,32,0.959
41,-360,99,29,0.958
42,-432,99,37,0.957
43,-396,99,33,0.956
44,-369,99,30,0.955
45,-387,99,32,0.954
46,-333,99,26,0.953
47,-360,99,29,0.952
48,-378,99,31,0.951
49,-450,99,39,0.95
50,-450,99,39,0.949
51,-369,99,30,0.948
52,-396,99,33,0.947
53,-342,99,27,0.946
54,-324,99,25,0.945
55,-360,99,29,0.944
56,-396,99,33,0.943
57,-369,99,30,0.942
58,-369,99,30,0.941
59,-459,99,40,0.94
60,-396,99,33,0.939
61,-351,99,28,0.938
62,-432,99,37,0.9369999999999999
63,-333,99,26,0.9359999999999999
64,-360,99,29,0.9349999999999999
65,-459,99,40,0.9339999999999999
66,-351,99,28,0.9329999999999999
67,-396,99,33,0.9319999999999999
68,-378,99,31,0.9309999999999999
69,-423,99,36,0.9299999999999999
70,-360,99,29,0.9289999999999999
71,-297,99,22,0.9279999999999999
72,-387,99,32,0.9269999999999999
73,-414,99,35,0.9259999999999999
74,-378,99,31,0.9249999999999999
75,-414,99,35,0.9239999999999999
76,-288,99,21,0.9229999999999999
77,-214,73,18,0.9219999999999999
78,-369,99,30,0.9209999999999999
79,-360,99,29,0.9199999999999999
80,-297,99,22,0.9189999999999999
81,-324,99,25,0.9179999999999999
82,-405,99,34,0.9169999999999999
83,-297,99,22,0.9159999999999999
84,-351,99,28,0.9149999999999999
85,-369,99,30,0.9139999999999999
86,-342,99,27,0.9129999999999999
87,-342,99,27,0.9119999999999999
88,-369,99,30,0.9109999999999999
89,-432,99,37,0.9099999999999999
90,-342,99,27,0.9089999999999999
91,-414,99,35,0.9079999999999999
92,-324,99,25,0.9069999999999999
93,-432,99,37,0.9059999999999999
94,-387,99,32,0.9049999999999999
95,-342,99,27,0.9039999999999999
96,-432,99,37,0.9029999999999999
97,-297,99,22,0.9019999999999999
98,-387,99,32,0.9009999999999999
99,-423,99,36,0.8999999999999999
100,-351,99,28,0.8989999999999999
